Company Name,Location,NAICS,Business Description,Month Announced,New/Expansion,New Jobs,Investment (MM$)
Shea Terra Organics,Loudoun County,325620,Manufactures and distributes organic skin care products,4/6/2018 12:00:00 AM,N,7,0.07
Framatome Inc.*,Lynchburg,334514,Designer and supplier of nuclear steam supply system and nuclear equipment,4/4/2018 12:00:00 AM,E,0,0
Willard Marine,Virginia Beach,336611,"East Coast HQ; small custom boats for government, military, and commercial uses",4/3/2018 12:00:00 AM,E,20,0
Fluence Energy*,Arlington County,221118,Other electric power generation,4/2/2018 12:00:00 AM,N,120,0
Epic Manufacturing,Virginia Beach,339112,"Metal fabrication for industrial, medical, and defense industries",4/2/2018 12:00:00 AM,E,0,2
North End Bag Company,Virginia Beach,314910,Manufactures and sells handcrafted canvases and leather goods,4/2/2018 12:00:00 AM,E,0,0.2
"Air Marine Systems, Inc.",Virginia Beach,423690,Resell of new and used marine & aviation used parts,4/2/2018 12:00:00 AM,E,0,1.1
"Allied Technology Group, Inc.",Virginia Beach,541330,Provides engineering and information management solutions,4/2/2018 12:00:00 AM,E,18,0.05
"Avis Budget Group, Inc.",Virginia Beach,561499,Customer service center,4/2/2018 12:00:00 AM,E,100,0.1
Azzure Denim,Virginia Beach,315990,"Clothes design, manufacture, and distribution",4/2/2018 12:00:00 AM,E,0,0
Broad Bay Clothing,Virginia Beach,315990,Manufacturer of logo clothing,4/2/2018 12:00:00 AM,E,5,0.43
Centurion Document Management,Virginia Beach,561499,Document management services,4/2/2018 12:00:00 AM,E,0,0.1
Consumer Recovery Associates,Virginia Beach,522320,Finance and collection services,4/2/2018 12:00:00 AM,E,8,0
"EIMSKIP USA, Inc.*",Virginia Beach,488510,U.S. HQ; global shipping and logistics provider,4/2/2018 12:00:00 AM,E,5,0.1
Global Supply Solutions (GSS Gear),Virginia Beach,423910,Supplier of tactical and outdoor gear,4/2/2018 12:00:00 AM,E,3,0.05
HBI Priority Freight,Virginia Beach,488510,Line haul freight services,4/2/2018 12:00:00 AM,E,0,0.1
Hermes Abrasives*,Virginia Beach,327910,US HQ; manufacturer of industrial abrasives,4/2/2018 12:00:00 AM,E,30,5
Liberty Tax Services,Virginia Beach,541213,Corporate headquarters; financial services and call center operations,4/2/2018 12:00:00 AM,E,0,0.18
"NCS Pearson, Inc.*",Virginia Beach,541511,Training and testing services,4/2/2018 12:00:00 AM,E,0,0.15
"Precision Measurements, Inc.",Virginia Beach,541370,HQ; National land surveying company,4/2/2018 12:00:00 AM,E,4,0.05
"Prime Lending, Inc.",Virginia Beach,522310,Mortgage funding and services,4/2/2018 12:00:00 AM,E,5,0.15
Special Tactical Services (STS),Virginia Beach,334511,Provides weapons and tactical training,4/2/2018 12:00:00 AM,E,20,0.6
"Transformational Defense Industries, Inc.",Virginia Beach,332994,Develops and manufactures weapon operating systems,4/2/2018 12:00:00 AM,E,35,3
